Date,Open,High,Low,Close,Adj Close,Volume,1D_MA,7D_MA,20D_MA,20D_STD,Upper_Band,Lower_Band,CCI,Decision_MA_1D,Decision_Bollinger,Decision_CCI
2023-01-02,87.15769958496094,88.4000015258789,87.15769958496094,88.48200225830078,88.48200225830078,0,88.48200225830078,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-03,88.29199981689453,88.31300354003906,87.22599792480469,88.30000305175781,88.30000305175781,0,88.30000305175781,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-04,87.21900177001953,87.9229965209961,87.21900177001953,87.21900177001953,87.21900177001953,0,87.21900177001953,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-05,87.58000183105469,87.80799865722656,86.75700378417969,87.6050033569336,87.6050033569336,0,87.6050033569336,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-06,86.81900024414062,87.61499786376953,86.64700317382812,86.8270034790039,86.8270034790039,0,86.8270034790039,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-09,85.69190216064453,88.28500366210938,85.69190216064453,87.5009994506836,87.5009994506836,0,87.5009994506836,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-10,88.10700225830078,88.24700164794922,87.44599914550781,88.1240005493164,88.1240005493164,0,88.1240005493164,87.72257341657367,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-11,87.5739974975586,87.93599700927734,87.41200256347656,87.58200073242188,87.58200073242188,0,87.58200073242188,87.59400177001953,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-12,87.78099822998047,88.14399719238281,87.37799835205078,87.80500030517578,87.80500030517578,0,87.80500030517578,87.52328709193638,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-13,88.00299835205078,88.30400085449219,87.72699737548828,88.01100158691406,88.01100158691406,0,88.01100158691406,87.63642992292132,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-16,86.9448013305664,88.34400177001953,86.9448013305664,87.9520034790039,87.9520034790039,0,87.9520034790039,87.68600136893136,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-17,88.35299682617188,88.61599731445312,87.94599914550781,88.35299682617188,88.35299682617188,0,88.35299682617188,87.90400041852679,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-18,87.98400115966797,88.27300262451172,87.81199645996094,88.00399780273438,88.00399780273438,0,88.00399780273438,87.97585732596261,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-19,87.86000061035156,88.06300354003906,87.58300018310547,87.86399841308594,87.86399841308594,0,87.86399841308594,87.93871416364398,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
